Date,Round,Rhian,Keith,Artist,Title
2022-03-13,#16,1,4,Electric Light Orchestra,Mr Blue Sky
2022-03-15,#18,1,1,Blur ,Song 2
2022-03-16,#19,0,0,Childish Gambino,Redbone
2022-03-17,#20,-,0,Madonna,Like A Virgin
2022-03-18,#21,6,1,Daft Punk,"Harder, Better, Faster, Stronger"
2022-03-19,#22,4,6,Al Green,Let’s Stay Together
2022-03-20,#23,0,3,Bruno Mars,Locked Out of Heaven
2022-03-21,#24,0,0,Wizkid,Essence (feat. Tems) 
2022-03-22,#25,0,3,Destiny’s Child,"Independent Women, Pt. 1"
2022-03-23,#26,0,0,The Kid LOROI,Stay (with Justin Beiber)
2022-03-24,#27,6,4,Linkin Park,Numb
2022-03-25,#28,4,3,Mark Ronson,Valerie (feat. Amy Whitehouse)
2022-03-27,#30,-,1,Dolly Parton,Jolene
2022-03-28,#31,-,1,Foo Fighters,Learn to Fly
2022-04-05,#39,3,4,Spice Girls,Wannabe
2022-04-06,#40,-,0,Led Zeppelin,Immigrant Song
2022-04-07,#41,0,5,Fugees,Ready or Not
2022-04-08,#42,1,1,Abba,Dancing Queen
2022-04-09,#43,0,0,Luther Vandross,Never Too Much
2022-04-11,#45,2,3,Red Hot Chili Peppers,Californication
2022-04-13,#47,3,2,Pink,Get The Party Started
2022-04-14,#48,0,6,Camila Cabello,My Oh  My (feat. DaBaby)
2022-04-15,#49,3,3,Oasis,Wonderwall
2022-04-16,#50,0,5,Cheryl Lynn,Got To Be Real
2022-04-17,#51,1,1,Fatboy Slim,Praise You
2022-04-18,#52,5,5,Annie Lennox,Walking on Broken Glass
2022-04-19,#53,1,1,Arctic Monkeys,I Bet You Look Good on The Dancefloor
2022-04-20,#54,0,0,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)"
2022-04-21,#55,0,6,Harry Styles,Adore You
2022-04-22,#56,0,4,Shakira,"Whenever, wherever"
2022-04-23,#57,0,2,Mark Morrison,Return Of The Mack
2022-04-24,#58,0,0,Lauryn Hill,Ex-Factor
2022-04-25,#59,0,1,Rolling Stones,(I Can’t Get No) Satisfaction
2022-04-26,#60,0,0,Amerie,1 Thing
2022-04-27,#61,2,3,Joan Jett & The Blackhearts,I Love Rock ‘N Roll 
2022-04-28,#62,0,0,Lisa Loeb & Nine Stories,Stay (I Missed You)
2022-04-29,#63,2,6,Candi Station,Young Hearts Run Free
2022-04-30,#64,4,4,N’Sync,It’s Gunna Be Me
2022-05-01,#65,6,1,Rage Against The Machine,Killing In The Name
2022-05-02,#66,0,-,The Bangles,Manic Monday
2022-05-03,#67,0,0,Busta Rhymes & Mariah Carey,I Know What You Want (Feat. Flipmode Squad)
2022-05-04,#68,0,3,Ed Sheeran,Shivers
2022-05-05,#69,5,1,TLC,No Scrubs
2022-05-06,#70,0,1,Stardust,The Music Sounds Better With You
2022-05-07,#71,1,1,Cyndi Lauper,Girls Just Want to Have Fun
2022-05-08,#72,0,0,Kate Bush,This Woman’s Work
2022-05-09,#73,1,1,Jamiroquai,Virtual Insanity
2022-05-10,#74,1,1,Blue Oyster Cult,(Don’t Fear) The Reaper
2022-05-11,#75,0,0,Santana,Maria Maria (feat. The Product G&B)
2022-05-12,#76,1,1,a-ha,Take on Me
2022-05-13,#77,1,1,Electric Light Orchestra,Mr Blue Sky
2022-05-14,#78,1,1,Toploader,Dancing in the Moonlight
2022-05-15,#79,1,1,Paul Simon,You Can Call Me Al
2022-05-16,#80,0,5,Estelle,American Boy (Feat. Kanye West)
2022-05-17,#81,1,0,George Michael,Freedom ’90
2022-05-18,#82,1,-,Deep Purple,Smoke on The Water
2022-05-19,#83,5,3,Miley Cyrus,Wrecking Ball
2022-05-20,#84,0,1,Justin Timberlake ,Like I Love You
2022-05-21,#85,0,5,Notorious B.I.G.,Juicy
2022-05-22,#86,6,3,Joy Division,Love Will Tear Us Apart
2022-05-23,#87,2,0,Alicia Keys,If I Ain’t Got You
2022-05-24,#88,6,0,Bob Dylan,Like a Rolling Stone
2022-05-25,#89,3,3,Backstreet Boys,I Want It That Way
2022-05-26,#90,0,2,Depeche Mode,Personal Jesus
2022-05-27,#91,0,6,Robin S,Show Me Love
2022-05-28,#92,1,1,Britney Spears,Toxic
2022-05-30,#94,5,4,AC/DC,Back in Black 
2022-06-06,#101,-,3,Roy Orbison,Pretty Woman
2022-06-08,#103,-,1,Temper Trap,Sweet Disposition
2022-06-09,#104,-,0,Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me)
2022-06-15,#110,5,1,One Direction,What Makes You Beautiful
2022-06-16,#111,1,1,David Bowie,Let’s Dance
2022-06-17,#112,2,2,Usher,Yeah!
2022-06-18,#113,0,3,Christina Aguilera ,Genie in a Bottle
2022-06-19,#114,1,1,Aretha Franklin,Respect
2022-06-20,#115,0,-,Goo Goo Dolls,Iris
2022-06-21,#116,1,1,The Foundations,Build Me Up Buttercup
2022-06-22,#117,6,2,Chic,Good Times
2022-06-23,#118,5,-,The Smiths,There Is a Light That Never Goes Out
2022-06-26,#121,5,5,Deee-lite,Groove Is In The Heart
2022-06-27,#122,0,2,The O’Jays,For the Love of Money
2022-06-28,#123,1,1,Journey,Don’t Stop Believin
2022-06-29,#124,0,1,Tones and I,Dance Monkey
2022-06-30,#125,0,1,Arcade Fire,The Suburbs
2022-07-01,#126,2,0,Pink Floyd,Another Brick in the Wall
2022-07-02,#127,0,0,Dead or Alive ,You Spin Me Round (Like a Record)
2022-07-03,#128,0,-,Paula Abdul ,Straight Up
2022-07-04,#129,0,1,Twenty One Pilots,Stressed Out
2022-07-05,#130,4,4,Eric Carmen,Hungry Eyes 
2022-07-06,#131,0,6,Jennifer Lopez,If You Had My Love
2022-07-07,#132,5,1,Craig David,Rewind
2022-07-08,#133,0,0,A$AP Rocky,Praise The Lord (Da Shine)
2022-07-09,#134,0,2,Kevin Lyttle,Turn Me On
2022-07-11,#136,0,3,So Solid Crew,21 Seconds
2022-07-12,#137,1,1,Fun feat. Janelle Monáe,We Are Young
2022-07-13,#138,1,1,My Chemical Romance,Welcome to The Black Parade
2022-07-14,#140,0,0,Radiohead,High & Dry
2022-07-15,#141,0,-,ZZ Top,La Grange
2022-07-16,#142,0,1,Sia,Cheap Thrills
2022-07-17,#143,0,0,David Bowie,Modern Love
2022-07-18,#144,0,0,Weezer,Island in the Sun
2022-07-19,#145,0,2,Phoenix,Lisztomania
2022-07-20,#146,0,0,Meatloaf,Paradise By the Dashboard Light
2022-07-21,#147,0,-,Janelle Monáe,Make Me Feel
2022-07-22,#148,0,0,Wolfmother,Joker And The Thief
2022-07-23,#149,1,1,Scissor Sisters,Take Your Mama
2022-07-24,#150,0,-,Stone Temple Pilots,Interstate Love Song
2022-07-25,#151,0,-,Maren Morris,The Bones
2022-07-26,#152,0,-,Billy Idol,White Wedding Pt. 1
2022-07-27,#153,0,-,Carrie Underwood,Before He Cheats
2022-07-28,#154,5,2,Duran Duran,Hungry Like The Wolf
2022-07-30,#156,2,5,Green Day,When I Come Around
2022-07-31,#157,6,1,Doja Cat,Say So 
2022-08-01,#168,0,0,Alice in Chains,Would
2022-08-02,#159,2,0,Pink,Raise Your Glass
2022-08-03,#160,1,4,Arctic Monkeys,Do I Wanna Know
2022-08-04,#161,1,1,Eiffel 65,Blue (Da Ba De)
2022-08-05,#162,3,-,Rupert Holmes,Escape (The Pina Colada Song)
2022-08-07,#164,1,1,Gotye + Kimbra,Somebody That I Used To Know
2022-08-09,#166,1,1,Paramore,Misery Business
2022-08-10,#167,1,2,Green Day,Basket Case
2022-08-11,#168,2,0,Eric Clapton,Wonderful Tonight
2022-08-12,#169,0,1,The 1975,Chocolate
2022-08-13,#170,1,-,Sunshine of Your Life,Cream
2022-08-14,#171,2,1,The Verge,Bitter Sweet Symphon
2022-08-15,#172,5,1,Peter Bjorn and John,Young Folks
2022-08-16,#173,-,-,James,Laid
2022-08-17,#174,5,3,Nirvana,Lithium
2022-08-18,#175,4,1,Katy Perry ,Hot N Cold
2022-08-19,#176,6,0,Crowded House,Don't Dream It's Over
2022-08-20,#177,0,0,Marshmello,Alone
2022-08-21,#178,0,0,Evanescence,My Immortal
2022-08-22,#179,0,0,Jeremy Zucker,all the kids are depressed
2022-08-23,#180,0,1,XXXTENACION,Everybody Dies In Their Nightmares